filename,width,height,class,xmin,ymin,xmax,ymax
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,279,488,373,639
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,159,241,220,415
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,247,343,287,416
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,283,304,315,349
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,426,374,480,451
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,481,276,559,392
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,415,302,461,362
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,352,296,387,346
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,379,277,402,318
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,433,283,470,326
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,480,366,543,446
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,332,273,357,303
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,372,243,390,272
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,339,245,357,269
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,318,251,336,278
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,262,244,279,266
8_mp4-33_jpg.rf.f43198a40d00d999acb21250bb837256.jpg,640,640,Vehicle,222,239,237,261
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,428,534,498,626
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,468,482,509,532
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,418,412,448,451
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,396,395,420,425
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,390,377,412,408
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,374,359,393,388
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,317,393,343,426
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,346,374,367,399
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,311,362,330,389
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,342,358,361,384
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,233,418,261,465
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,142,478,181,533
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,65,491,107,554
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,118,422,153,468
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,200,393,222,428
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,176,366,197,395
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,215,366,235,396
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,203,330,224,368
test_mp4-19_jpg.rf.f7d961917a8ad26e4907e193353ae4aa.jpg,640,640,Vehicle,255,354,270,379
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,280,535,384,640
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,367,414,438,519
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,502,440,581,553
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,530,336,598,436
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,453,263,510,341
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,438,224,482,290
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,523,211,574,281
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,588,156,640,254
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,510,146,564,234
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,473,128,510,188
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,439,168,480,239
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,Vehicle,422,148,454,192
